exports_from,exports_to,exports_year,section_id,section_name,trade_value,trade_id
usa,ind,2017,5,Mineral Products,3775856863,trade_b_278
usa,ind,2017,6,Chemical Products,2933652589,trade_b_279
usa,ind,2017,7,Plastics and Rubbers,951230736,trade_b_280
usa,ind,2017,8,Animal Hides,25705140,trade_b_281
usa,ind,2017,9,Wood Products,32743274,trade_b_282
usa,ind,2017,10,Paper Goods,767670290,trade_b_283
usa,ind,2017,11,Textiles,604964996,trade_b_284
usa,ind,2017,12,Footwear and Headwear,3783803,trade_b_285
usa,ind,2017,13,Stone And Glass,207233598,trade_b_286
usa,ind,2017,14,Precious Metals,6143200725,trade_b_287
usa,ind,2017,15,Metals,983065734,trade_b_288
usa,ind,2017,16,Machines,3911333770,trade_b_289
usa,ind,2017,17,Transportation,1141797497,trade_b_290
usa,ind,2017,18,Instruments,1418022358,trade_b_291
usa,ind,2017,19,Weapons,44559841,trade_b_292
usa,ind,2017,20,Miscellaneous,91934073,trade_b_293
usa,ind,2017,21,Arts and Antiques,20088831,trade_b_294
usa,ind,2016,1,Animal Products,54259175,trade_b_295
usa,ind,2016,2,Vegetable Products,825853621,trade_b_296
usa,ind,2016,3,Animal and Vegetable Bi-Products,14004232,trade_b_297
usa,ind,2016,4,Foodstuffs,286314185,trade_b_298
usa,ind,2016,5,Mineral Products,1398101559,trade_b_299
usa,ind,2016,6,Chemical Products,2744289481,trade_b_300
usa,ind,2016,7,Plastics and Rubbers,885402733,trade_b_301
usa,ind,2016,8,Animal Hides,22828406,trade_b_302
usa,ind,2016,9,Wood Products,32606380,trade_b_303
usa,ind,2016,10,Paper Goods,705629299,trade_b_304
usa,ind,2016,11,Textiles,435259201,trade_b_305
usa,ind,2016,12,Footwear and Headwear,4058977,trade_b_306
usa,ind,2016,13,Stone And Glass,187134240,trade_b_307
usa,ind,2016,14,Precious Metals,6030348514,trade_b_308
usa,ind,2016,15,Metals,959885552,trade_b_309
usa,ind,2016,16,Machines,3728205566,trade_b_310
usa,ind,2016,17,Transportation,673095231,trade_b_311
usa,ind,2016,18,Instruments,1343833293,trade_b_312
usa,ind,2016,19,Weapons,101209417,trade_b_313
usa,ind,2016,20,Miscellaneous,84099247,trade_b_314
usa,ind,2016,21,Arts and Antiques,35972461,trade_b_315
usa,ind,2015,1,Animal Products,37148630,trade_b_316
usa,ind,2015,2,Vegetable Products,903364807,trade_b_317
usa,ind,2015,3,Animal and Vegetable Bi-Products,8518543,trade_b_318
usa,ind,2015,4,Foodstuffs,202965162,trade_b_319
usa,ind,2015,5,Mineral Products,1413065476,trade_b_320
usa,ind,2015,6,Chemical Products,2745678976,trade_b_321
usa,ind,2015,7,Plastics and Rubbers,794271603,trade_b_322
usa,ind,2015,8,Animal Hides,20328140,trade_b_323
usa,ind,2015,9,Wood Products,43277836,trade_b_324
usa,ind,2015,10,Paper Goods,702180529,trade_b_325
usa,ind,2015,11,Textiles,291460082,trade_b_326
usa,ind,2015,12,Footwear and Headwear,5146685,trade_b_327
usa,ind,2015,13,Stone And Glass,223946292,trade_b_328
usa,ind,2015,14,Precious Metals,5865786984,trade_b_329
