exports_from,exports_to,exports_year,section_id,section_name,trade_value,trade_id
usa,jpn,2019,20,Miscellaneous,581100153,t_a_251
usa,jpn,2019,21,Arts and Antiques,307249166,t_a_252
usa,jpn,2020,1,Animal Products,4236308036,t_a_253
usa,jpn,2020,2,Vegetable Products,5812029534,t_a_254
usa,jpn,2020,3,Animal and Vegetable Bi-Products,71564881,t_a_255
usa,jpn,2020,4,Foodstuffs,2348651733,t_a_256
usa,jpn,2020,5,Mineral Products,8492164796,t_a_257
usa,jpn,2020,6,Chemical Products,10667182036,t_a_258
usa,jpn,2020,7,Plastics and Rubbers,1928326312,t_a_259
usa,jpn,2020,8,Animal Hides,75052875,t_a_260
usa,jpn,2020,9,Wood Products,634733740,t_a_261
usa,jpn,2020,10,Paper Goods,1046768749,t_a_262
usa,jpn,2020,11,Textiles,390655875,t_a_263
usa,jpn,2020,12,Footwear and Headwear,40504210,t_a_264
usa,jpn,2020,13,Stone And Glass,616006687,t_a_265
usa,jpn,2020,14,Precious Metals,1341669303,t_a_266
usa,jpn,2020,15,Metals,1478128347,t_a_267
usa,jpn,2020,16,Machines,11836773451,t_a_268
usa,jpn,2020,17,Transportation,3179691930,t_a_269
usa,jpn,2020,18,Instruments,8170844388,t_a_270
usa,jpn,2020,19,Weapons,77498380,t_a_271
usa,jpn,2020,20,Miscellaneous,438856515,t_a_272
usa,jpn,2020,21,Arts and Antiques,255767240,t_a_273
usa,kor,2019,1,Animal Products,3174644403,t_a_274
usa,kor,2019,2,Vegetable Products,2580055704,t_a_275
usa,kor,2019,3,Animal and Vegetable Bi-Products,307097426,t_a_276
usa,kor,2019,4,Foodstuffs,2022938284,t_a_277
usa,kor,2019,5,Mineral Products,14250535243,t_a_278
usa,kor,2019,6,Chemical Products,7232082645,t_a_279
usa,kor,2019,7,Plastics and Rubbers,1842656129,t_a_280
usa,kor,2019,8,Animal Hides,180012246,t_a_281
usa,kor,2019,9,Wood Products,98480640,t_a_282
usa,kor,2019,10,Paper Goods,628177936,t_a_283
usa,kor,2019,11,Textiles,457099622,t_a_284
usa,kor,2019,12,Footwear and Headwear,37372056,t_a_285
usa,kor,2019,13,Stone And Glass,388757581,t_a_286
usa,kor,2019,14,Precious Metals,371753150,t_a_287
usa,kor,2019,15,Metals,2262413308,t_a_288
usa,kor,2019,16,Machines,10740978569,t_a_289
usa,kor,2019,17,Transportation,4759085143,t_a_290
usa,kor,2019,18,Instruments,5620943714,t_a_291
usa,kor,2019,19,Weapons,166239159,t_a_292
usa,kor,2019,20,Miscellaneous,323006349,t_a_293
usa,kor,2019,21,Arts and Antiques,154689045,t_a_294
usa,kor,2020,1,Animal Products,2938480492,t_a_295
usa,kor,2020,2,Vegetable Products,2662422367,t_a_296
usa,kor,2020,3,Animal and Vegetable Bi-Products,326371584,t_a_297
usa,kor,2020,4,Foodstuffs,2124172217,t_a_298
usa,kor,2020,5,Mineral Products,10327356708,t_a_299
usa,kor,2020,6,Chemical Products,6939776063,t_a_300
usa,kor,2020,7,Plastics and Rubbers,1735016395,t_a_301
usa,kor,2020,8,Animal Hides,91577034,t_a_302
usa,kor,2020,9,Wood Products,84535243,t_a_303
usa,kor,2020,10,Paper Goods,568204890,t_a_304
usa,kor,2020,11,Textiles,351935030,t_a_305
usa,kor,2020,12,Footwear and Headwear,27913331,t_a_306
usa,kor,2020,13,Stone And Glass,374879068,t_a_307
usa,kor,2020,14,Precious Metals,603626108,t_a_308
usa,kor,2020,15,Metals,1951141912,t_a_309
usa,kor,2020,16,Machines,10203025258,t_a_310
usa,kor,2020,17,Transportation,4608109337,t_a_311
usa,kor,2020,18,Instruments,6895922084,t_a_312
usa,kor,2020,19,Weapons,210095991,t_a_313
usa,kor,2020,20,Miscellaneous,264126432,t_a_314
usa,kor,2020,21,Arts and Antiques,143222027,t_a_315
usa,nld,2020,1,Animal Products,416926758,t_a_316
usa,nld,2020,2,Vegetable Products,1815710738,t_a_317
usa,nld,2020,3,Animal and Vegetable Bi-Products,256027225,t_a_318
usa,nld,2020,4,Foodstuffs,956821672,t_a_319
usa,nld,2020,5,Mineral Products,7672306094,t_a_320
usa,nld,2020,6,Chemical Products,9044832891,t_a_321
usa,nld,2020,7,Plastics and Rubbers,1670219209,t_a_322
usa,nld,2020,8,Animal Hides,41150028,t_a_323
usa,nld,2020,9,Wood Products,97919051,t_a_324
usa,nld,2020,10,Paper Goods,363534157,t_a_325
usa,nld,2020,11,Textiles,381048478,t_a_326
usa,nld,2020,12,Footwear and Headwear,37477099,t_a_327
usa,nld,2020,13,Stone And Glass,159284480,t_a_328
usa,nld,2020,14,Precious Metals,31175767,t_a_329
usa,nld,2020,15,Metals,482239068,t_a_330
usa,nld,2020,16,Machines,9393774284,t_a_331
usa,nld,2020,17,Transportation,1773406683,t_a_332
usa,nld,2020,18,Instruments,7677385185,t_a_333
usa,nld,2020,19,Weapons,28662920,t_a_334
usa,nld,2020,20,Miscellaneous,303515043,t_a_335
usa,nld,2020,21,Arts and Antiques,76279792,t_a_336
usa,nld,2019,1,Animal Products,450617570,t_a_337
usa,nld,2019,2,Vegetable Products,1593395829,t_a_338
usa,nld,2019,3,Animal and Vegetable Bi-Products,232478095,t_a_339
usa,nld,2019,4,Foodstuffs,839868036,t_a_340
usa,nld,2019,5,Mineral Products,10534853235,t_a_341
usa,nld,2019,6,Chemical Products,9053741610,t_a_342
usa,nld,2019,7,Plastics and Rubbers,1802041859,t_a_343
usa,nld,2019,8,Animal Hides,66003962,t_a_344
usa,nld,2019,9,Wood Products,39271993,t_a_345
usa,nld,2019,10,Paper Goods,418957783,t_a_346
usa,nld,2019,11,Textiles,374648874,t_a_347
usa,nld,2019,12,Footwear and Headwear,37667694,t_a_348
usa,nld,2019,13,Stone And Glass,128973674,t_a_349
usa,nld,2019,14,Precious Metals,32164554,t_a_350
usa,nld,2019,15,Metals,568921613,t_a_351
usa,nld,2019,16,Machines,9701329080,t_a_352
usa,nld,2019,17,Transportation,3133542114,t_a_353
usa,nld,2019,18,Instruments,7927986141,t_a_354
usa,nld,2019,19,Weapons,44486011,t_a_355
usa,nld,2019,20,Miscellaneous,386425636,t_a_356
usa,nld,2019,21,Arts and Antiques,192494511,t_a_357
usa,nld,2018,1,Animal Products,358884168,t_a_358
usa,nld,2018,2,Vegetable Products,2120819958,t_a_359
usa,nld,2018,3,Animal and Vegetable Bi-Products,237859497,t_a_360
usa,nld,2018,4,Foodstuffs,885622952,t_a_361
usa,nld,2018,5,Mineral Products,8526488109,t_a_362
usa,nld,2018,6,Chemical Products,8522635741,t_a_363
usa,nld,2018,7,Plastics and Rubbers,1583617405,t_a_364
usa,nld,2018,8,Animal Hides,43296072,t_a_365
usa,nld,2018,9,Wood Products,16410280,t_a_366
usa,nld,2018,10,Paper Goods,475060526,t_a_367
usa,nld,2018,11,Textiles,399697487,t_a_368
usa,nld,2018,12,Footwear and Headwear,34664325,t_a_369
usa,nld,2018,13,Stone And Glass,105262596,t_a_370
usa,nld,2018,14,Precious Metals,94870099,t_a_371
usa,nld,2018,15,Metals,601090063,t_a_372
usa,nld,2018,16,Machines,9952210986,t_a_373
usa,nld,2018,17,Transportation,2889314278,t_a_374
usa,nld,2018,18,Instruments,7523288743,t_a_375
usa,nld,2018,19,Weapons,61736574,t_a_376
usa,nld,2018,20,Miscellaneous,366030973,t_a_377
usa,nld,2018,21,Arts and Antiques,225780448,t_a_378
usa,nld,2017,1,Animal Products,371049502,t_a_379
usa,nld,2017,2,Vegetable Products,1612036459,t_a_380
usa,nld,2017,3,Animal and Vegetable Bi-Products,254809983,t_a_381
usa,nld,2017,4,Foodstuffs,825503341,t_a_382
usa,nld,2017,5,Mineral Products,5659127140,t_a_383
usa,nld,2017,6,Chemical Products,7238650809,t_a_384
usa,nld,2017,7,Plastics and Rubbers,1460243344,t_a_385
usa,nld,2017,8,Animal Hides,42658546,t_a_386
usa,nld,2017,9,Wood Products,14094885,t_a_387
usa,nld,2017,10,Paper Goods,473462152,t_a_388
usa,nld,2017,11,Textiles,432612019,t_a_389
usa,nld,2017,12,Footwear and Headwear,39068824,t_a_390
usa,nld,2017,13,Stone And Glass,133942959,t_a_391
usa,nld,2017,14,Precious Metals,64931709,t_a_392
usa,nld,2017,15,Metals,482595673,t_a_393
usa,nld,2017,16,Machines,9569287684,t_a_394
usa,nld,2017,17,Transportation,3234294045,t_a_395
usa,nld,2017,18,Instruments,6549078733,t_a_396
usa,nld,2017,19,Weapons,23895269,t_a_397
usa,nld,2017,20,Miscellaneous,358367094,t_a_398
usa,nld,2017,21,Arts and Antiques,257729500,t_a_399
usa,nld,2016,1,Animal Products,368704124,t_a_400
usa,nld,2016,2,Vegetable Products,1484640902,t_a_401
usa,nld,2016,3,Animal and Vegetable Bi-Products,222590955,t_a_402
usa,nld,2016,4,Foodstuffs,832438921,t_a_403
usa,nld,2016,5,Mineral Products,4726692951,t_a_404
usa,nld,2016,6,Chemical Products,7738340856,t_a_405
usa,nld,2016,7,Plastics and Rubbers,1472771024,t_a_406
usa,nld,2016,8,Animal Hides,52844612,t_a_407
usa,nld,2016,9,Wood Products,17414722,t_a_408
usa,nld,2016,10,Paper Goods,437062377,t_a_409
usa,nld,2016,11,Textiles,425007498,t_a_410
usa,nld,2016,12,Footwear and Headwear,34991553,t_a_411
usa,nld,2016,13,Stone And Glass,194453589,t_a_412
usa,nld,2016,14,Precious Metals,72450387,t_a_413
usa,nld,2016,15,Metals,490478184,t_a_414
usa,nld,2016,16,Machines,8410867190,t_a_415
usa,nld,2016,17,Transportation,2037442883,t_a_416
usa,nld,2016,18,Instruments,6319434611,t_a_417
usa,nld,2016,19,Weapons,40776921,t_a_418
usa,nld,2016,20,Miscellaneous,342475368,t_a_419
usa,nld,2016,21,Arts and Antiques,185811434,t_a_420
usa,nld,2015,1,Animal Products,365120606,t_a_421
usa,nld,2015,2,Vegetable Products,1208580150,t_a_422
usa,nld,2015,3,Animal and Vegetable Bi-Products,221088341,t_a_423
usa,nld,2015,4,Foodstuffs,940564955,t_a_424
usa,nld,2015,5,Mineral Products,5372584167,t_a_425
usa,nld,2015,6,Chemical Products,7962776642,t_a_426
usa,nld,2015,7,Plastics and Rubbers,1361000007,t_a_427
usa,nld,2015,8,Animal Hides,42891735,t_a_428
usa,nld,2015,9,Wood Products,28450722,t_a_429
usa,nld,2015,10,Paper Goods,433336166,t_a_430
usa,nld,2015,11,Textiles,357001554,t_a_431
usa,nld,2015,12,Footwear and Headwear,30353030,t_a_432
usa,nld,2015,13,Stone And Glass,198243921,t_a_433
usa,nld,2015,14,Precious Metals,89893401,t_a_434
usa,nld,2015,15,Metals,503717159,t_a_435
usa,nld,2015,16,Machines,8717893558,t_a_436
usa,nld,2015,17,Transportation,2619060150,t_a_437
usa,nld,2015,18,Instruments,6398367303,t_a_438
usa,nld,2015,19,Weapons,49759995,t_a_439
usa,nld,2015,20,Miscellaneous,250961868,t_a_440
usa,nld,2015,21,Arts and Antiques,169971494,t_a_441
usa,nld,2014,1,Animal Products,361658315,t_a_442
usa,nld,2014,2,Vegetable Products,1251697608,t_a_443
usa,nld,2014,3,Animal and Vegetable Bi-Products,221320052,t_a_444
usa,nld,2014,4,Foodstuffs,869988663,t_a_445
usa,nld,2014,5,Mineral Products,8597849517,t_a_446
usa,nld,2014,6,Chemical Products,8176874311,t_a_447
usa,nld,2014,7,Plastics and Rubbers,1303862095,t_a_448
usa,nld,2014,8,Animal Hides,50913217,t_a_449
usa,nld,2014,9,Wood Products,60428034,t_a_450
usa,nld,2014,10,Paper Goods,449234384,t_a_451
usa,nld,2014,11,Textiles,247979164,t_a_452
usa,nld,2014,12,Footwear and Headwear,32223667,t_a_453
usa,nld,2014,13,Stone And Glass,199589517,t_a_454
usa,nld,2014,14,Precious Metals,87923832,t_a_455
usa,nld,2014,15,Metals,565908929,t_a_456
usa,nld,2014,16,Machines,8441883999,t_a_457
usa,nld,2014,17,Transportation,1207914595,t_a_458
usa,nld,2014,18,Instruments,6292747512,t_a_459
usa,nld,2014,19,Weapons,78301811,t_a_460
usa,nld,2014,20,Miscellaneous,253824523,t_a_461
usa,nld,2014,21,Arts and Antiques,185618565,t_a_462
mex,usa,2020,1,Animal Products,3165383304,t_a_463
mex,usa,2020,2,Vegetable Products,14368902222,t_a_464
mex,usa,2020,3,Animal and Vegetable Bi-Products,289943195,t_a_465
mex,usa,2020,4,Foodstuffs,13109186533,t_a_466
mex,usa,2020,5,Mineral Products,10196466274,t_a_467
mex,usa,2020,6,Chemical Products,5119516871,t_a_468
mex,usa,2020,7,Plastics and Rubbers,8677050291,t_a_469
mex,usa,2020,8,Animal Hides,335501843,t_a_470
mex,usa,2020,9,Wood Products,589607977,t_a_471
mex,usa,2020,10,Paper Goods,1928819287,t_a_472
mex,usa,2020,11,Textiles,5018176286,t_a_473
