From,To,Year,Section ID,Section,HS2 ID,HS2,Trade Value,,,From,To,Year,Section ID,Section,
usa,gbr,2020,14,Precious Metals,1471,"Precious metals, gems and jewelry",9400564104,,,usa,jpn,2011,8,Animal Hides,195685412
usa,gbr,2020,15,Metals,1572,Iron and steel,68440615,,,usa,jpn,2011,9,Wood Products,771871259
usa,gbr,2020,15,Metals,1573,Iron or steel articles,411650590,,,usa,jpn,2011,10,Paper Goods,1502024341
usa,gbr,2020,15,Metals,1574,Copper and articles thereof,33567421,,,usa,jpn,2011,11,Textiles,625048720
usa,gbr,2020,15,Metals,1575,Nickel and articles thereof,217454130,,,usa,jpn,2011,12,Footwear and Headwear,97266825
usa,gbr,2020,15,Metals,1576,Aluminium and articles thereof,145484230,,,usa,jpn,2011,13,Stone And Glass,540016595
usa,gbr,2020,15,Metals,1578,Lead and articles thereof,205556,,,usa,jpn,2011,14,Precious Metals,1499350199
usa,gbr,2020,15,Metals,1579,Zinc and articles thereof,1396793,,,usa,jpn,2011,15,Metals,1688810107
usa,gbr,2020,15,Metals,1580,Tin; articles thereof,715560,,,usa,jpn,2011,16,Machines,12500592702
usa,gbr,2020,15,Metals,1581,"Metals; n.e.s., cermets and articles thereof",283244162,,,usa,jpn,2011,17,Transportation,4086206656
usa,gbr,2020,15,Metals,1582,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",140088588,,,usa,jpn,2011,18,Instruments,7684865676
usa,gbr,2020,15,Metals,1583,Metal; miscellaneous products of base metal,135487539,,,usa,jpn,2011,19,Weapons,288717169
usa,gbr,2020,16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",7955931232,,,usa,jpn,2011,20,Miscellaneous,546859084
usa,gbr,2020,16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",3635665478,,,usa,jpn,2011,21,Arts and Antiques,68804090
usa,gbr,2020,17,Transportation,1786,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",41901377,,,usa,jpn,2012,1,Animal Products,4344648918
usa,gbr,2020,17,Transportation,1787,Vehicles,1515418230,,,usa,jpn,2012,2,Vegetable Products,7949147864
usa,gbr,2020,17,Transportation,1788,"Aircraft, spacecraft and parts ",1324218779,,,usa,jpn,2012,3,Animal and Vegetable Bi-Products,85402301
usa,gbr,2020,17,Transportation,1789,"Ships, boats and floating structures",138505750,,,usa,jpn,2012,4,Foodstuffs,2881905327
usa,gbr,2020,18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",2584919141,,,usa,jpn,2012,5,Mineral Products,3488419410
usa,gbr,2020,18,Instruments,1891,Clocks and watches and parts thereof,21780561,,,usa,jpn,2012,6,Chemical Products,11612733215
usa,gbr,2020,18,Instruments,1892,Musical instruments; parts and accessories of such articles,61295818,,,usa,jpn,2012,7,Plastics and Rubbers,2399980401
usa,gbr,2020,19,Weapons,1993,Arms and ammunition; parts and accessories thereof,91438194,,,usa,jpn,2012,8,Animal Hides,191846726
usa,gbr,2020,20,Miscellaneous,2094,Furniture,288022791,,,usa,jpn,2012,9,Wood Products,768235063
usa,gbr,2020,20,Miscellaneous,2095,Toys,239086230,,,usa,jpn,2012,10,Paper Goods,1413495600
usa,gbr,2020,20,Miscellaneous,2096,Miscellaneous manufactured articles,36068619,,,usa,jpn,2012,11,Textiles,600704042
usa,gbr,2020,21,Arts and Antiques,2197,Works of art; collectors' pieces and antiques,2078951230,,,usa,jpn,2012,12,Footwear and Headwear,97837442
usa,gbr,2019,1,Animal Products,101,Animals; live,43841870,,,usa,jpn,2012,13,Stone And Glass,550524954
usa,gbr,2019,1,Animal Products,102,Meat and edible meat offal,3820067,,,usa,jpn,2012,14,Precious Metals,1423316994
usa,gbr,2019,1,Animal Products,103,Aquatic Animals,37857644,,,usa,jpn,2012,15,Metals,1670323666
usa,gbr,2019,1,Animal Products,104,Edible Animal By-Products,14714417,,,usa,jpn,2012,16,Machines,12052564603
usa,gbr,2019,1,Animal Products,105,Other Animal Products,23437109,,,usa,jpn,2012,17,Transportation,4451407045
usa,gbr,2019,2,Vegetable Products,206,"Live trees, plants, bulbs, roots and cut flowers",933123,,,usa,jpn,2012,18,Instruments,8419077027
usa,gbr,2019,2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,103508121,,,usa,jpn,2012,19,Weapons,249202540
usa,gbr,2019,2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",223137083,,,usa,jpn,2012,20,Miscellaneous,583775958
